Setup,Activation,LearningRate,Epochs,SNR(dB),SpectralEfficiency
0db,tanh,0.0001,100,10,6.513337135314941
0db,tanh,0.0001,100,15,8.117711067199707
0db,tanh,0.0001,100,20,9.754085540771484
0db,tanh,0.0001,500,-20,0.3145335614681244
0db,tanh,0.0001,500,-15,0.7367874979972839
0db,tanh,0.0001,500,-10,1.4340567588806152
0db,tanh,0.0001,500,-5,2.40305495262146
0db,tanh,0.0001,500,0,3.621032238006592
0db,tanh,0.0001,500,5,5.036208152770996
0db,tanh,0.0001,500,10,6.577927589416504
0db,tanh,0.0001,500,15,8.18678092956543
0db,tanh,0.0001,500,20,9.826610565185547
0db,tanh,0.0001,1000,-20,0.3146874010562897
0db,tanh,0.0001,1000,-15,0.7349697947502136
0db,tanh,0.0001,1000,-10,1.4240610599517822
0db,tanh,0.0001,1000,-5,2.374962568283081
0db,tanh,0.0001,1000,0,3.567169666290283
0db,tanh,0.0001,1000,5,4.955893516540527
0db,tanh,0.0001,1000,10,6.47719144821167
0db,tanh,0.0001,1000,15,8.074129104614258
0db,tanh,0.0001,1000,20,9.70846939086914
0db,tanh,1e-05,100,-20,0.1946524679660797
0db,tanh,1e-05,100,-15,0.4916844964027405
0db,tanh,1e-05,100,-10,1.0439649820327759
0db,tanh,1e-05,100,-5,1.880645990371704
0db,tanh,1e-05,100,0,2.987542152404785
0db,tanh,1e-05,100,5,4.319410800933838
0db,tanh,1e-05,100,10,5.807999610900879
0db,tanh,1e-05,100,15,7.388358116149902
0db,tanh,1e-05,100,20,9.015328407287598
0db,tanh,1e-05,500,-20,0.2729179561138153
0db,tanh,1e-05,500,-15,0.6552435755729675
0db,tanh,1e-05,500,-10,1.3097444772720337
0db,tanh,1e-05,500,-5,2.2402184009552
0db,tanh,1e-05,500,0,3.4230659008026123
0db,tanh,1e-05,500,5,4.808371543884277
0db,tanh,1e-05,500,10,6.327810764312744
0db,tanh,1e-05,500,15,7.9222612380981445
0db,tanh,1e-05,500,20,9.554208755493164
0db,tanh,1e-05,1000,-20,0.299958199262619
0db,tanh,1e-05,1000,-15,0.7076125144958496
0db,tanh,1e-05,1000,-10,1.387225866317749
0db,tanh,1e-05,1000,-5,2.336623430252075
0db,tanh,1e-05,1000,0,3.533435344696045
0db,tanh,1e-05,1000,5,4.92909574508667
0db,tanh,1e-05,1000,10,6.45552921295166
0db,tanh,1e-05,1000,15,8.053732872009277
0db,tanh,1e-05,1000,20,9.686861038208008
0db,sigmoid,0.001,100,-20,0.33825790882110596
0db,sigmoid,0.001,100,-15,0.7835890650749207
0db,sigmoid,0.001,100,-10,1.5051807165145874
0db,sigmoid,0.001,100,-5,2.4945764541625977
0db,sigmoid,0.001,100,0,3.7285678386688232
0db,sigmoid,0.001,100,5,5.152472972869873
0db,sigmoid,0.001,100,10,6.694821357727051
0db,sigmoid,0.001,100,15,8.300508499145508
0db,sigmoid,0.001,100,20,9.937317848205566
0db,sigmoid,0.001,500,-20,0.33354902267456055
0db,sigmoid,0.001,500,-15,0.7745884656906128
0db,sigmoid,0.001,500,-10,1.4923943281173706
0db,sigmoid,0.001,500,-5,2.477297782897949
0db,sigmoid,0.001,500,0,3.702353000640869
0db,sigmoid,0.001,500,5,5.115068435668945
0db,sigmoid,0.001,500,10,6.648516654968262
0db,sigmoid,0.001,500,15,8.24858283996582
0db,sigmoid,0.001,500,20,9.882452011108398
0db,sigmoid,0.001,1000,-20,0.3387329876422882
0db,sigmoid,0.001,1000,-15,0.7847324013710022
0db,sigmoid,0.001,1000,-10,1.5073500871658325
0db,sigmoid,0.001,1000,-5,2.4964945316314697
0db,sigmoid,0.001,1000,0,3.728276014328003
0db,sigmoid,0.001,1000,5,5.150358200073242
0db,sigmoid,0.001,1000,10,6.692716121673584
0db,sigmoid,0.001,1000,15,8.29926586151123
0db,sigmoid,0.001,1000,20,9.93705940246582
0db,sigmoid,0.0001,100,-20,0.2983842194080353
0db,sigmoid,0.0001,100,-15,0.706195592880249
0db,sigmoid,0.0001,100,-10,1.3892327547073364
